,genres
437,['comedy']
438,"['animation', 'action', 'scifi']"
439,"['adventure', 'action', 'fantasy']"
440,"['animation', 'comedy', 'family', 'adventure']"
441,['drama']
442,"['animation', 'adventure']"
443,"['mystery', 'adventure', 'comedy']"
444,"['animation', 'family']"
445,"['action', 'adventure', 'scifi']"
446,"['action', 'adventure', 'fantasy']"
447,"['western', 'action']"
448,"['adventure', 'comedy', 'fantasy']"
449,"['drama', 'romance']"
450,"['animation', 'family', 'comedy', 'music', 'fantasy']"
451,"['drama', 'romance']"
452,"['drama', 'comedy']"
453,"['horror', 'mystery']"
454,"['action', 'adventure', 'fantasy', 'scifi']"
455,"['action', 'adventure', 'animation', 'family']"
456,"['scifi', 'adventure', 'action']"
457,"['fantasy', 'adventure']"
458,"['animation', 'family']"
459,['comedy']
460,"['horror', 'thriller', 'mystery']"
461,"['adventure', 'drama', 'scifi']"
462,"['animation', 'family', 'action', 'comedy', 'scifi', 'fantasy']"
463,"['action', 'adventure', 'fantasy']"
464,['action']
465,"['adventure', 'family', 'fantasy']"
466,"['comedy', 'family']"
467,"['romance', 'family', 'animation', 'fantasy']"
468,"['animation', 'adventure']"
469,"['action', 'adventure', 'fantasy']"
470,"['animation', 'family', 'fantasy']"
471,"['animation', 'comedy', 'family']"
472,"['action', 'thriller', 'crime']"
473,"['action', 'drama', 'scifi']"
474,"['scifi', 'action', 'adventure']"
475,"['animation', 'family', 'adventure', 'drama', 'comedy']"
476,"['thriller', 'action', 'crime']"
477,"['scifi', 'thriller']"
478,"['scifi', 'action', 'thriller', 'adventure']"
479,"['adventure', 'fantasy', 'action']"
480,"['comedy', 'thriller', 'drama']"
481,"['crime', 'drama']"
482,"['action', 'comedy', 'mystery', 'crime']"
483,"['animation', 'comedy', 'family', 'adventure']"
484,"['drama', 'crime', 'thriller']"
485,"['thriller', 'adventure', 'action']"
486,"['horror', 'mystery']"
487,"['action', 'crime']"
488,"['family', 'fantasy', 'comedy']"
489,"['scifi', 'action', 'thriller']"
490,"['thriller', 'crime']"
491,"['scifi', 'action']"
492,"['horror', 'thriller']"
493,['documentary']
494,['scifi']
495,"['horror', 'crime', 'mystery']"
496,"['action', 'adventure', 'comedy', 'crime', 'thriller']"
497,"['family', 'comedy', 'fantasy', 'animation']"
498,"['action', 'thriller', 'crime', 'adventure']"
499,"['adventure', 'action', 'scifi']"
500,"['animation', 'family', 'comedy']"
501,"['thriller', 'horror']"
502,"['thriller', 'action', 'crime', 'drama']"
503,"['scifi', 'action']"
504,"['animation', 'fantasy', 'family']"
505,"['animation', 'family', 'fantasy']"
506,"['family', 'fantasy', 'romance']"
507,"['crime', 'drama', 'thriller', 'action']"
508,"['action', 'animation', 'scifi']"
509,['comedy']
510,['romance']
511,"['fantasy', 'animation', 'family']"
512,"['family', 'animation', 'adventure', 'fantasy']"
513,"['action', 'adventure', 'scifi']"
514,"['adventure', 'fantasy', 'drama', 'romance']"
515,"['family', 'fantasy', 'adventure']"
516,['comedy']
517,"['crime', 'drama', 'thriller']"
518,"['animation', 'adventure', 'family', 'comedy']"
519,"['animation', 'comedy', 'family', 'adventure']"
520,['comedy']
521,"['drama', 'family', 'comedy']"
522,"['action', 'thriller']"
523,"['fantasy', 'adventure', 'action']"
524,"['animation', 'comedy', 'adventure', 'family']"
525,"['horror', 'comedy']"
526,"['action', 'adventure', 'fantasy', 'scifi']"
527,"['thriller', 'action', 'scifi']"
528,"['horror', 'thriller']"
529,"['drama', 'history']"
530,"['fantasy', 'adventure', 'animation', 'comedy', 'family']"
531,"['action', 'scifi', 'thriller']"
532,"['romance', 'drama']"
533,"['action', 'fantasy', 'family', 'comedy']"
534,"['action', 'drama']"
535,"['family', 'animation', 'adventure', 'comedy']"
536,"['animation', 'romance', 'family']"
537,"['action', 'drama', 'thriller']"
538,"['action', 'adventure', 'scifi']"
539,"['western', 'animation', 'adventure', 'comedy', 'family', 'drama']"
540,['comedy']
541,"['action', 'animation', 'scifi']"
542,"['romance', 'comedy']"
543,"['thriller', 'history', 'drama']"
544,"['animation', 'drama', 'music', 'romance']"
545,"['adventure', 'fantasy', 'romance']"
546,"['comedy', 'drama', 'romance']"
547,"['fantasy', 'adventure', 'action', 'family', 'romance']"
548,"['comedy', 'romance']"
549,"['comedy', 'crime']"
550,"['war', 'action', 'history', 'thriller', 'drama']"
551,['comedy']
552,"['scifi', 'action', 'thriller', 'adventure']"
553,"['romance', 'fantasy', 'animation']"
554,"['scifi', 'action', 'crime', 'animation']"
555,['drama']
556,"['action', 'crime', 'thriller']"
557,"['drama', 'romance']"
558,"['crime', 'mystery', 'thriller']"
559,"['animation', 'mystery', 'action', 'crime']"
560,"['action', 'fantasy', 'thriller']"
561,"['action', 'comedy', 'fantasy']"
562,"['drama', 'romance']"
563,"['adventure', 'fantasy', 'action']"
564,"['horror', 'thriller']"
565,"['action', 'adventure', 'scifi', 'fantasy']"
566,"['action', 'thriller', 'scifi']"
567,"['adventure', 'fantasy', 'action', 'thriller']"
568,['thriller']
569,"['thriller', 'tv movie', 'drama']"
570,"['animation', 'fantasy', 'family', 'action', 'adventure']"
571,"['animation', 'family', 'comedy', 'adventure']"
572,"['action', 'scifi']"
573,"['action', 'scifi', 'horror']"
574,"['action', 'animation', 'scifi']"
575,"['family', 'animation', 'comedy', 'adventure']"
576,"['animation', 'adventure', 'comedy', 'family']"
577,"['drama', 'history']"
578,"['comedy', 'fantasy']"
579,"['mystery', 'thriller', 'horror']"
580,"['adventure', 'fantasy', 'action']"
581,['drama']
582,"['action', 'adventure', 'scifi']"
583,"['animation', 'adventure', 'comedy', 'family', 'action', 'fantasy']"
584,"['family', 'animation', 'adventure', 'comedy']"
585,['scifi']
586,"['action', 'animation', 'scifi']"
587,"['drama', 'romance']"
588,"['family', 'animation', 'comedy', 'adventure']"
589,"['adventure', 'animation']"
590,['horror']
591,"['adventure', 'action', 'animation']"
592,"['scifi', 'action', 'drama', 'thriller']"
593,"['action', 'crime', 'drama', 'thriller']"
594,['documentary']
595,"['action', 'crime']"
596,"['action', 'thriller', 'scifi']"
597,"['animation', 'comedy', 'music', 'family']"
598,"['family', 'fantasy', 'comedy', 'animation']"
599,"['action', 'animation', 'scifi']"
600,"['music', 'animation']"
601,['comedy']
602,"['horror', 'mystery', 'thriller']"
603,"['drama', 'fantasy']"
604,"['documentary', 'history']"
605,"['animation', 'mystery', 'action', 'crime']"
606,"['drama', 'tv movie']"
607,"['romance', 'comedy']"
608,"['action', 'crime', 'thriller']"
609,"['drama', 'crime']"
610,"['action', 'animation', 'scifi']"
611,"['scifi', 'action', 'adventure', 'thriller']"
612,"['family', 'adventure', 'animation']"
613,"['family', 'adventure', 'animation', 'drama']"
614,"['animation', 'action', 'scifi']"
615,"['adventure', 'fantasy', 'romance', 'family']"
616,['horror']
617,"['adventure', 'fantasy', 'drama']"
618,"['scifi', 'adventure', 'mystery']"
619,['drama']
620,"['fantasy', 'action', 'adventure', 'scifi']"
621,"['animation', 'family', 'adventure']"
622,"['animation', 'comedy', 'family', 'fantasy']"
623,"['mystery', 'drama', 'horror', 'adventure', 'animation']"
624,"['drama', 'action', 'thriller', 'war']"
625,"['adventure', 'action', 'scifi']"
626,['drama']
627,"['fantasy', 'family']"
628,['comedy']
629,"['family', 'comedy', 'fantasy', 'tv movie']"
630,"['animation', 'family']"
631,"['action', 'adventure', 'scifi', 'fantasy']"
632,"['animation', 'adventure', 'comedy', 'family']"
633,"['mystery', 'thriller', 'action']"
634,"['adventure', 'action', 'thriller', 'scifi']"
635,"['action', 'adventure', 'scifi']"
636,"['action', 'thriller', 'scifi']"
637,"['tv movie', 'thriller']"
638,"['animation', 'family']"
639,"['scifi', 'action']"
640,"['adventure', 'animation', 'comedy', 'family']"
641,"['action', 'adventure', 'animation', 'family', 'comedy']"
642,"['family', 'animation', 'comedy', 'fantasy']"
643,['comedy']
644,"['romance', 'fantasy', 'family', 'drama']"
645,"['animation', 'comedy', 'family']"
646,"['romance', 'comedy']"
647,"['horror', 'romance']"
648,"['action', 'adventure']"
649,"['action', 'adventure', 'fantasy', 'scifi']"
650,"['action', 'scifi', 'animation']"
651,"['fantasy', 'animation', 'adventure']"
652,"['adventure', 'animation', 'family', 'comedy', 'scifi']"
653,"['action', 'crime', 'fantasy']"
654,"['family', 'animation', 'scifi', 'comedy']"
655,"['comedy', 'adventure', 'fantasy', 'animation', 'family']"
656,"['drama', 'comedy']"
657,"['drama', 'crime']"
658,"['action', 'scifi', 'adventure']"
659,"['animation', 'comedy', 'family']"
660,"['romance', 'family', 'animation']"
661,"['war', 'action']"
662,"['crime', 'action', 'comedy']"
663,"['action', 'animation', 'comedy']"
664,"['horror', 'thriller', 'mystery']"
665,"['drama', 'fantasy', 'scifi']"
666,"['adventure', 'animation', 'comedy', 'family', 'fantasy']"
667,"['action', 'animation', 'fantasy']"
668,"['romance', 'comedy']"
669,"['comedy', 'drama', 'romance']"
670,"['horror', 'thriller']"
671,"['action', 'adventure', 'scifi']"
672,"['thriller', 'action', 'crime']"
673,"['action', 'thriller']"
674,"['horror', 'thriller', 'mystery']"
675,"['family', 'animation']"
676,"['drama', 'thriller']"
677,"['animation', 'adventure', 'family', 'fantasy', 'comedy', 'action']"
678,"['adventure', 'animation', 'family']"
679,"['drama', 'western']"
680,"['family', 'animation', 'adventure', 'comedy', 'tv movie']"
681,"['comedy', 'action', 'crime']"
682,['drama']
683,['comedy']
684,"['horror', 'thriller']"
685,"['scifi', 'action', 'adventure']"
686,"['action', 'thriller', 'drama']"
687,"['crime', 'action', 'scifi']"
688,"['romance', 'drama']"
689,"['animation', 'family', 'fantasy', 'adventure', 'comedy', 'romance']"
690,['comedy']
691,"['action', 'fantasy', 'scifi', 'adventure']"
692,['drama']
693,['comedy']
694,"['thriller', 'horror', 'drama']"
695,"['scifi', 'action', 'adventure']"
696,"['horror', 'thriller', 'action']"
697,"['action', 'mystery', 'thriller']"
698,"['action', 'adventure', 'scifi']"
699,"['action', 'horror', 'comedy']"
700,"['fantasy', 'action', 'adventure', 'animation', 'comedy', 'family']"
701,"['drama', 'music', 'romance']"
702,"['animation', 'comedy', 'family']"
703,"['drama', 'romance']"
704,"['fantasy', 'adventure', 'animation', 'family']"
705,"['animation', 'action', 'fantasy', 'scifi']"
706,"['animation', 'family', 'fantasy']"
707,"['comedy', 'romance']"
708,"['animation', 'romance', 'comedy', 'drama', 'fantasy']"
709,"['action', 'adventure', 'thriller']"
710,"['thriller', 'mystery']"
711,['comedy']
712,"['adventure', 'fantasy', 'action']"
713,['comedy']
714,"['animation', 'fantasy']"
715,['horror']
716,"['animation', 'family', 'scifi', 'fantasy']"
717,"['action', 'adventure', 'fantasy']"
718,"['drama', 'action']"
719,"['family', 'animation', 'comedy']"
720,"['adventure', 'fantasy', 'drama', 'romance']"
721,"['action', 'thriller', 'crime']"
722,"['crime', 'comedy', 'scifi']"
723,"['animation', 'scifi']"
724,['drama']
725,"['animation', 'family']"
726,"['adventure', 'drama', 'action']"
727,"['thriller', 'drama']"
728,"['adventure', 'action', 'scifi', 'thriller']"
729,"['thriller', 'horror', 'mystery']"
730,['animation']
731,"['fantasy', 'drama', 'crime']"
732,"['horror', 'mystery', 'thriller']"
733,"['thriller', 'horror']"
734,['comedy']
735,['comedy']
736,['horror']
737,"['animation', 'family', 'comedy', 'fantasy']"
